tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
ZPDJ,State Street SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,148255425,151 126 MJPY,"0,12 %",Arvopaperi,
ZPDW,State Street SPDR MSCI Japan UCITS ETF Accum.Ptg. Class Hedged EUR,IE00BZ0G8C04,148255426,"47,13 MJPY","0,17 %",Arvopaperi,
ZPRU,State Street SPDR MSCI USA Value UCITS ETF Accum USD,IE00BSPLC520,125378848,"194,07 M$","0,20 %",Arvopaperi,
ZPRS,State Street SPDR MSCI World Small Cap UCITS ETF Accum.Shs USD,IE00BCBJG560,91960951,"1 807,75 M$","0,47 %",Arvopaperi,
SPY4,State Street SPDR S&P 400 US Mid Cap UCITS ETF,IE00B4YBJ215,58651288,"5 786,86 M$","0,30 %",Arvopaperi,
SPPY,State Street SPDR S&P 500 Leaders UCITS ETF Accum Shs USD,IE00BH4GPZ28,275590780,"5 252,81 M$","0,03 %",Arvopaperi,
SPY1,State Street SPDR S&P 500 Low Volatility UCITS ETF,IE00B802KR88,69418119,"114,08 M$","0,35 %",Arvopaperi,
SPYG,State Street SPDR S&P UK Dividend Aristocrats UCITS ETF GBP,IE00B6S2Z822,59438356,"132,6 M£","0,30 %",Arvopaperi,Puolivuosittain
SPPD,State Street SPDR S&P US Dividend Aristocrats UCITS ETF Hedged EUR,IE00B979GK47,258886121,"45,42 M$","0,40 %",Arvopaperi,Neljännesvuosittain
SPYD,State Street SPDR S&P US Dividend Aristocrats UCITS ETF USD,IE00B6YX5D40,52939551,"3 611,48 M$","0,35 %",Arvopaperi,Neljännesvuosittain
ZPDX,State Street SPDR STOXX Europe 600 SRI UCITS ETF Accum Unhedged EUR,IE00BK5H8015,269304804,"480,86 M€","0,12 %",Arvopaperi,
AW1Z,UBS (Irl) ETF plc - UBS MSCI EMU Climate Paris Aligned UCITS ETF Accum EUR,IE00BN4Q0L55,328707787,"4,44 M€","0,14 %",Arvopaperi,
AW13,UBS (Irl) ETF plc - UBS MSCI Europe Climate Paris Aligned UCITS ETF Accum EUR,IE00BN4Q0933,328707789,"5,85 M€","0,15 %",Arvopaperi,
AW15,UBS (Irl) ETF plc - UBS MSCI Japan Climate Paris Aligned UCITS ETF Accum JPY,IE00BN4Q0X77,328707790,"26 503,9 MJPY","0,12 %",Arvopaperi,
AW16,UBS (Irl) ETF plc - UBS MSCI USA Climate Paris Aligned UCITS ETF Accum USD,IE00BN4Q0602,328707791,"120,31 M$","0,09 %",Arvopaperi,
AW10,UBS (Irl) ETF plc - UBS MSCI World ex USA Climate Paris Aligned UCITS ETF Accum USD,IE00BN4Q0370,328707788,"56,37 M$","0,20 %",Arvopaperi,
FRCK,UBS (Lux) Fund Solutions SICAV - UBS BBG USD EM Sovereign UCITS ETF -hEUR acc- Capitalisation,LU1324516308,160912582,"255,76 M$","0,28 %",Arvopaperi,
UETC,UBS (Lux) Fund Solutions SICAV - UBS MSCI China Universal UCITS ETF Adis- Distribution,,263730061,"236,37 M$","0,30 %",Arvopaperi,Puolivuosittain
UIMT,UBS (Lux) Fund Solutions SICAV - UBS MSCI Pacific Socially Responsible UCITS ETF USD dis- Distribution,LU0629460832,50638342,"731,73 M$","0,28 %",Arvopaperi,Puolivuosittain
UIMP,UBS (Lux) Fund Solutions SICAV - UBS MSCI USA Socially Responsible UCITS ETF USD dis- Distribution,LU0629460089,50638338,"805,28 M$","0,20 %",Arvopaperi,Puolivuosittain
FRCJ,UBS ETF SICAV - MSCI Japan Socially Responsible UCITS ETF -(JPY) A-dis- Distribution,LU1230561679,139796605,"50 917,4 MJPY","0,20 %",Arvopaperi,Puolivuosittain
UIMR,UBS ETF SICAV - UBS ETF - MSCI EMU Socially Responsible UCITS ETF A Distribution,LU0629460675,50638340,"775,1 M€","0,20 %",Arvopaperi,Puolivuosittain
SEAC,UBS ETF SICAV - UBS ETF - MSCI World Socially Responsible UCITS ETF A Capitalisation,LU0950674332,210391275,"1 899,85 M$","0,22 %",Arvopaperi,
UIMM,UBS ETF SICAV - UBS ETF - MSCI World Socially Responsible UCITS ETF A Distribution,LU0629459743,50638336,"4 552,82 M$","0,22 %",Arvopaperi,Puolivuosittain
GGUE,UBS Global Gender Equality UCITS ETF Accum h EUR,IE00BDR5H073,281871422,"23,28 M$","0,40 %",Arvopaperi,
UEF5,UBS MSCI EM Socially Responsible UCITS ETF USD dis Distribution,LU1048313891,112392528,"2 745,57 M$","0,24 %",Arvopaperi,Puolivuosittain
UBUM,UBS S&P Dividend Aristocrats ESG Elite UCITS ETF Shs USD,IE00BMP3HG27,112392525,"143,28 M$","0,30 %",Arvopaperi,Puolivuosittain
JRUB,USD IG Corporate Bond Active UCITS ETF Accum USD,IE00BF59RV63,239087340,"37,11 M$","0,20 %",Arvopaperi,
JREU,US Research Enhanced Index Equity Active UCITS ETF,IE00BF4G7076,232084878,"11 082,5 M$","0,20 %",Arvopaperi,
DAVV,VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,333372350,"681,77 M$","0,65 %",Arvopaperi,
DFEN,VanEck Defense UCITS ETF,IE000YYE6WK5,416808737,"8 488,61 M$","0,55 %",Arvopaperi,
G2X,VanEck Gold Miners UCITS ETF Accum A USD,IE00BQQP9F84,133689066,"3 711,02 M$","0,53 %",Arvopaperi,
HDR0,VanEck Hydrogen Economy UCITS ETF Accum A USD,IE00BMDH1538,328707786,"119,42 M$","0,55 %",Arvopaperi,
EM1C,VanEck J.P. Morgan EM Local Currency Bond UCITS ETF Accum A USD,IE00BDS67326,186959925,"248,08 M$","0,30 %",Arvopaperi,
G2XJ,VanEck Junior Gold Miners UCITS ETF Accum A USD,IE00BQQP9G91,133689067,"1 342,26 M$","0,55 %",Arvopaperi,Vuosittain
VVGM,VanEck Morningstar Global Wide Moat UCITS ETF Accum A USD,IE00BL0BMZ89,300067776,"171,27 M$","0,52 %",Arvopaperi,
GMVM,VanEck Morningstar US ESG Wide Moat UCITS ETF,IE00BQQP9H09,146473935,"358,14 M$","0,49 %",Arvopaperi,
SMTV,VanEck Morningstar US SMID Moat UCITS ETF Accum A USD,IE000SBU19F7,446979933,"14,46 M$","0,50 %",Arvopaperi,
WMOT,VanEck Morningstar US Wide Moat UCITS ETF Accum A USD,IE0007I99HX7,446979934,"40,09 M$","0,50 %",Arvopaperi,
QUTM,VanEck Quantum Computing UCITS ETF Accum Shs -A- USD,IE0007Y8Y157,508412526,"616,93 M$","0,55 %",Arvopaperi,
VVMX,VanEck Rare Earth and Strategic Metals UCITS ETF Accum A USD,IE0002PG6CA6,352970569,"1 457,76 M$","0,59 %",Arvopaperi,
WMIN,VanEck S&P Global Mining UCITS ETF A USD,IE00BDFBTQ78,216854286,"1 983,26 M$","0,50 %",Arvopaperi,
VVSM,VanEck Semiconductor UCITS ETF Accum A USD,IE00BMC38736,315665759,"6 062,53 M$","0,35 %",Arvopaperi,
JEDI,VanEck Space Innovators UCITS ETF Accum A USD,IE000YU9K6K2,385097867,"1 607,49 M$","0,55 %",Arvopaperi,
HY3M,VanEck UCITS ETFs Plc - Emerging Mkts. High Yld. Bd.,IE00BF541080,214470101,"47,15 M$","0,40 %",Arvopaperi,
ESP0,VanEck UCITS ETFs Plc - Video Gaming & eSports,IE00BYWQWR46,259832631,"662,92 M$","0,55 %",Arvopaperi,
NUKL,VanEck Uranium and Nuclear Technologies UCITS ETF Accum A USD,IE000M7V94E1,410229479,"2 711,6 M$","0,55 %",Arvopaperi,
VDIV,VanEck Vectors ETFs NV - Morningstar Dev. Mrkts. Div. Ldrs.,NL0011683594,238696445,"7 465,28 M€","0,38 %",Arvopaperi,Neljännesvuosittain
TSWE,VanEck World Equal Weight Screened UCITS ETF,NL0010408704,353729450,"1 229,61 M€","0,30 %",Arvopaperi,Neljännesvuosittain
V3AA,Vanguard ESG Global All CapUCITS ETF AccumUSD,IE00BNG8L278,328137167,"950,25 M$","0,24 %",Arvopaperi,
VECP,Vanguard EUR Corporate Bond UCITS ETF,IE00BZ163G84,201301176,"2 988,79 M€","0,07 %",Arvopaperi,Kuukausittain
VMID,Vanguard FTSE 250 UCITS ETF,IE00BKX55Q28,201177728,"1 449,57 M£","0,10 %",Arvopaperi,Neljännesvuosittain
VGWD,Vanguard FTSE All-World High Dividend Yield UCITS ETF USD,IE00B8GKDB10,201301179,"9 251,86 M$","0,29 %",Arvopaperi,Neljännesvuosittain
VGWL,Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,201301177,"24 015,7 M$","0,19 %",Arvopaperi,Neljännesvuosittain
VWCE,Vanguard FTSE All-World UCITS ETF Accum USD,IE00BK5BQT80,262733170,"41 406,1 M$","0,19 %",Arvopaperi,
VGEK,Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Accum Shs USD,IE00BK5BQZ41,268900171,"826,22 M$","0,15 %",Arvopaperi,
VWCG,Vanguard FTSE Developed Europe UCITS ETF Accum EUR,IE00BK5BQX27,262733175,"2 440,35 M€","0,10 %",Arvopaperi,
VGVE,Vanguard FTSE Developed World UCITS ETF,IE00BKX55T58,201177730,"4 282,12 M$","0,12 %",Arvopaperi,Neljännesvuosittain
VGVF,Vanguard FTSE Developed World UCITS ETF USD,IE00BK5BQV03,281299974,"6 393,54 M$","0,12 %",Arvopaperi,
VFEM,Vanguard FTSE Emerging Markets UCITS ETF,IE00B3VVMM84,201177799,"3 467,16 M$","0,22 %",Arvopaperi,Neljännesvuosittain
VFEA,Vanguard FTSE Emerging Markets UCITS ETF AccumUSD,IE00BK5BR733,268900173,"2 122,01 M$","0,22 %",Arvopaperi,
VJPA,Vanguard FTSE Japan UCITS ETF Accum Shs USD,IE00BFMXYX26,268900169,"1 340,74 M$","0,15 %",Arvopaperi,
VNRA,Vanguard FTSE North America UCITS ETF Accum Shs USD,IE00BK5BQW10,262733172,"2 793,06 M$","0,10 %",Arvopaperi,
VGWE,Vanguard Funds PLC - Vanguard FTSE All-World High Dividend Yield UCITS ETF AccumUSD,IE00BK5BR626,295960965,"2 480,48 M$","0,29 %",Arvopaperi,
VAGF,Vanguard Global Aggregate Bond UCITS ETF Accum Shs Hedged EUR,IE00BG47KH54,259346012,"1 961,95 M£","0,10 %",Arvopaperi,
V80A,Vanguard LifeStrategy 80% Equity UCITS ETF,IE00BMVB5R75,316449220,"1 009,05 M€","0,25 %",Arvopaperi,
VUSA,Vanguard S&P 500 UCITS ETF,IE00B3XXRP09,201301178,49 556 M$,"0,07 %",Arvopaperi,Neljännesvuosittain
VUCP,Vanguard USD Corporate Bond UCITS ETF,IE00BZ163K21,201177740,"733,75 M$","0,09 %",Arvopaperi,Kuukausittain
VUCE,Vanguard USD Corporate Bond UCITS ETF Accum Unhedged USD,IE00BGYWFK87,258368278,"3 102,4 M$","0,09 %",Arvopaperi,
VIRETHE,Virtune Staked Ethereum ETP,SE0020541639,491023799,"335,79 M$","1,40 %",Johdannainen,
VIRSOLE,Virtune Staked Solana ETP,SE0021309754,491023836,"187,85 M$","0,95 %",Arvopaperi,
OD7U,WisdomTree Agriculture,GB00B15KYH63,15974957,"930,18 M$","0,49 %",Johdannainen,
4RTR,WisdomTree Agriculture 2x Daily Leveraged,,392308644,"5,67 M$","0,98 %",Johdannainen,
9GAL,WisdomTree Agriculture Longer Dated (German Cert.),JE00B24DMK23,392308388,"3,79 M$","0,49 %",Johdannainen,
OD7A,WisdomTree Aluminium (German Cert.),GB00B15KXN58,15974918,"118,62 M$","0,54 %",Johdannainen,
WTI2,WisdomTree Artificial Intelligence UCITS ETF USD Acc,IE00BDVPNG13,303044367,"1 149,24 M$","0,40 %",Arvopaperi,
WTEB,WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged,IE00BFNNN236,303044362,"288,87 M$","0,39 %",Arvopaperi,Neljännesvuosittain
W1TA,WisdomTree Battery Solutions UCITS ETF USD Acc,IE00BKLF1R75,303044374,"192,02 M$","0,40 %",Arvopaperi,
WRNA,WisdomTree BioRevolution UCITS ETF AccumUSD,IE000O8KMPM1,360597753,"13,17 M$","0,45 %",Arvopaperi,
OOEA,WisdomTree Brent Crude Oil,JE00B78CGV99,60806414,"1 025,61 M$","0,54 %",Johdannainen,
00XT,WisdomTree Brent Crude Oil - EUR Daily Hedged,JE00B7305Z55,60744884,"28,33 M€","0,54 %",Johdannainen,
OOEB,WisdomTree Brent Crude Oil Longer Dated,,60806415,"2,8 M$","0,49 %",Johdannainen,
OD7V,WisdomTree Broad Commodities,GB00B15KY989,15974959,"136,91 M$","0,99 %",Johdannainen,
OOEC,WisdomTree Broad Commodities Ex-Agriculture and Livestock,JE00B6SV8B36,72311412,"5,64 M$","0,49 %",Johdannainen,
9GAF,WisdomTree Broad Commodities Longer Dated,JE00B24DMC49,20411988,"2,02 M$","0,54 %",Johdannainen,
WCO2,WisdomTree Carbon,JE00BP2PWW32,349865778,"52,16 M€","0,85 %",Johdannainen,
WTEJ,WisdomTree Cloud Computing UCITS ETF USD Acc,IE00BJGWQN72,303044371,"232,34 M$","0,40 %",Arvopaperi,
4RUP,WisdomTree Cocoa 2x Daily Leveraged,JE00B2NFV803,392308441,"27,15 M$","1,03 %",Johdannainen,
OD7B,WisdomTree Coffee,JE00BN7KB557,451828565,"38,14 M$","0,99 %",Johdannainen,
OD7C,WisdomTree Copper,GB00B15KXQ89,15974923,"1 885,03 M$","0,49 %",Johdannainen,
4RT3,WisdomTree Copper 2x Daily Leveraged,JE00B2NFTF36,392308647,"11,39 M$","0,98 %",Johdannainen,
OD7D,WisdomTree Corn,,442019552,"80,69 M$","0,99 %",Johdannainen,
4RT4,WisdomTree Corn 2x Daily Leveraged,JE00B2NFTG43,392308654,"7,2 M$","1,03 %",Johdannainen,
OD7E,WisdomTree Cotton,GB00B15KXT11,15974927,"18,26 M$","0,49 %",Johdannainen,
W1TB,WisdomTree Cybersecurity UCITS ETF USD Acc,IE00BLPK3577,321462008,"371,29 M$","0,45 %",Arvopaperi,
WTEI,WisdomTree Emerging Markets Equity Income UCITS ETF,IE00BQQ3Q067,303044150,"173,58 M$","0,46 %",Arvopaperi,Neljännesvuosittain
WTED,WisdomTree Emerging Markets SmallCap Dividend UCITS ETF,IE00BQZJBM26,303044152,"44,17 M$","0,54 %",Arvopaperi,Neljännesvuosittain
OD7W,WisdomTree Energy,GB00B15KYB02,15974960,"170,81 M$","0,49 %",Johdannainen,
EHEN,WisdomTree Energy - EUR Daily Hedged,JE00B78NNV14,390763117,"0,59 M€","0,54 %",Johdannainen,
9GAG,WisdomTree Energy Longer Dated,JE00B24DMD55,20411989,"1,12 M$","0,54 %",Johdannainen,
NRGT,WisdomTree Energy Transition Metals,XS2425848053,370965703,"356,99 M$","0,81 %",Johdannainen,
WTEH,WisdomTree Enhanced Commodity UCITS ETF EUR Hedged Acc,IE00BG88WG77,303044364,"17,14 M$","0,35 %",Arvopaperi,
EUDF,Wisdomtree Europe Defence Ucits ETF Accum EUR,IE0002Y8CX98,497263755,"4 492,44 M€","0,41 %",Arvopaperi,
WTEE,WisdomTree Europe Equity Income UCITS ETF,IE00BQZJBX31,303044154,"150,91 M€","0,29 %",Arvopaperi,Neljännesvuosittain
PCFD,WisdomTree EURO STOXX 50 3x Daily Leveraged,IE00B7SD4R47,316678396,"28,42 M€","0,75 %",Johdannainen,
OD7G,WisdomTree Gasoline,GB00B15KXW40,15974931,"9,76 M$","0,49 %",Johdannainen,
NTSG,WisdomTree Global Efficient Core UCITS ETF AccumUSD,IE00077IIPQ8,482768920,"63,69 M$","0,35 %",Arvopaperi,
WTEM,WisdomTree Global Quality Dividend Growth UCITS ETF USD Acc,IE00BZ56SW52,303044330,"712,67 M$","0,38 %",Arvopaperi,
OD7H,WisdomTree Gold,GB00B15KXX56,15974934,"115,54 M$","0,49 %",Johdannainen,
00XN,WisdomTree Gold - EUR Daily Hedged,JE00B4RKQV36,60744876,"26,36 M€","0,54 %",Johdannainen,
9GA9,WisdomTree Gold 1x Daily Short,JE00B24DKC09,392308630,"8,73 M$","1,03 %",Johdannainen,
4RT8,WisdomTree Gold 2x Daily Leveraged,JE00B2NFTL95,392308638,"142,56 M$","0,98 %",Johdannainen,
OD7Y,WisdomTree Grains,GB00B15KYL00,15974962,"49,34 M$","0,54 %",Johdannainen,
OD7I,WisdomTree Heating Oil,GB00B15KXY63,15974936,"4,95 M$","0,54 %",Johdannainen,
OD7Z,WisdomTree Industrial Metals,GB00B15KYG56,15974963,"1 565,55 M$","0,49 %",Johdannainen,
OD7J,WisdomTree Lean Hogs,,442019554,"3,05 M$","0,54 %",Johdannainen,
OD7K,WisdomTree Live Cattle,GB00B15KY096,15974938,"3,43 M$","0,45 %",Johdannainen,
XBJJ,WisdomTree Long AUD Short EUR,JE00B3XGSP64,58649359,"0,84 M€","0,39 %",Johdannainen,
XBJA,WisdomTree Long CHF Short EUR,JE00B3MR2Q90,390763076,"2,04 M€","0,99 %",,
XBJE,WisdomTree Long CNY Short USD,,37329104,"0,27 M$","0,59 %",Johdannainen,
SJPS,WisdomTree Long JPY Short EUR,JE00B3MWC642,390763080,"12,67 M€","0,39 %",Johdannainen,
LNOE,WisdomTree Long NOK Short EUR,JE00B3MRDD32,390763084,"5,3 M€","0,39 %",Johdannainen,
XBJD,WisdomTree Long SEK Short EUR,JE00B3MQG751,390763086,"3,92 M€","0,39 %",Johdannainen,
XBJP,WisdomTree Long USD Short EUR,JE00B3RNTN80,390763090,"3,32 M€","0,99 %",Johdannainen,
5CH5,WisdomTree Long USD Short EUR 5x Daily,JE00BMM1XC77,390763062,"4,17 M€","0,98 %",Johdannainen,
VZLE,WisdomTree Metal Securities Ltd.,JE00B1VS3W29,17656815,"414,11 M$","0,44 %",Arvopaperi,
3QQQ,WisdomTree NASDAQ 100 3x Daily Leveraged,IE00BLRPRL42,316678615,"580,02 M$","0,75 %",Johdannainen,
3QSS,WisdomTree NASDAQ 100 3x Daily Short,IE00BLRPRJ20,316678612,"92,04 M$","0,80 %",Johdannainen,
OD7L,WisdomTree Natural Gas,JE00BN7KB334,451828201,"137,91 M$","0,49 %",Johdannainen,
00XP,WisdomTree Natural Gas - EUR Daily Hedged,JE00B6XF0923,60744877,"6,93 M€","0,54 %",Johdannainen,
4RTD,WisdomTree Natural Gas 1x Daily Short,JE00B24DKH53,392308632,"4,42 M$","1,03 %",Johdannainen,
4RUC,WisdomTree Natural Gas 2x Daily Leveraged,JE00BDD9Q956,392308685,"14,41 M$","1,30 %",Johdannainen,
WTRE,WisdomTree New Economy Real Estate UCITS ETF AccumUSD,IE000MO2MB07,367446082,"9,39 M$","0,45 %",Arvopaperi,
OD7M,WisdomTree Nickel,GB00B15KY211,392308312,"175,84 M$","0,49 %",Johdannainen,
4RTE,WisdomTree Nickel 1x Daily Short,JE00B24DKJ77,392308623,"0,48 M$","1,03 %",Johdannainen,
4RUD,WisdomTree Nickel 2x Daily Leveraged,JE00BDD9QB77,392308687,"12,2 M$","0,98 %",Johdannainen,
OD72,WisdomTree Petroleum,GB00B15KYC19,392308371,"14,47 M$","0,54 %",Johdannainen,
WBIT,WisdomTree Physical Bitcoin,GB00BJYDH287,330143007,"1 391,45 M$","0,35 %",Arvopaperi,
ALTC,WisdomTree Physical Crypto Altcoins,GB00BMTP1519,359367697,"19,85 M$","0,70 %",Arvopaperi,
WETH,WisdomTree Physical Ethereum,GB00BJYDH394,332376497,"185,41 M$","0,35 %",Arvopaperi,
VZLD,WisdomTree Physical Gold,JE00B1VS3770,17656814,"7 680,11 M$","0,39 %",Arvopaperi,
GBSE,WisdomTree Physical Gold - EUR Daily Hedged,JE00B8DFY052,72270611,"1 297,44 M€","0,22 %",Arvopaperi,
VZLB,WisdomTree Physical Palladium,JE00B1VS3002,17656812,"180,63 M$","0,49 %",Arvopaperi,
VZLA,WisdomTree Physical Platinum,JE00B1VS2W53,17656811,"618,09 M$","0,49 %",Arvopaperi,
VZLC,WisdomTree Physical Silver,JE00B1VS3333,17656813,"3 275,62 M$","0,49 %",Arvopaperi,
GZUR,WisdomTree Physical Swiss Gold,JE00B588CD74,32874739,5 192 M$,"0,15 %",Arvopaperi,
WXRP,WisdomTree Physical XRP Exchange Traded Product 2024-Open end on Compass Crypto Reference Index XRP,GB00BRXHQ425,484198871,"67,56 M$","0,50 %",Arvopaperi,
4RUM,WisdomTree Platinum 2x Daily Leveraged,JE00B2NFV134,392308602,"30,6 M$","1,03 %",Johdannainen,
OD73,WisdomTree Precious Metals,GB00B15KYF40,392308377,"108,14 M$","0,49 %",Johdannainen,
00XQ,WisdomTree Precious Metals - EUR Daily Hedged,JE00B78NPQ01,390763111,"7,63 M€","1,21 %",Johdannainen,
WQTM,WisdomTree Quantum Computing UCITS ETF Accum Shs USD,IE000W8WMSL2,522527055,"161,95 M$","0,75 %",Arvopaperi,
SCHE,WisdomTree Short CHF Long EUR,JE00B3L54023,390763078,"0,28 M€","0,39 %",Johdannainen,
XBJF,WisdomTree Short CNY Long USD,,390763074,"0,36 M$","0,59 %",Johdannainen,
SJPL,WisdomTree Short JPY Long EUR,JE00B3KNMS14,390763082,"0,34 M€","0,39 %",Johdannainen,
XBJQ,WisdomTree Short USD Long EUR,JE00B3SBYQ91,390763093,"108,05 M€","0,39 %",Johdannainen,
5CH6,WisdomTree Short USD Long EUR 5x Daily,JE00BMM1XD84,390763064,"15,95 M€","0,98 %",Johdannainen,
OD7N,WisdomTree Silver,GB00B15KY328,15974945,"124,05 M$","0,49 %",Johdannainen,
00XR,WisdomTree Silver - EUR Daily Hedged,JE00B5SV2703,60744879,"45,84 M€","0,54 %",Johdannainen,
4RTF,WisdomTree Silver 1x Daily Short,,392308614,"7,3 M$","0,98 %",Johdannainen,
4RUE,WisdomTree Silver 2x Daily Leveraged,JE00B2NFTS64,392308393,"73,55 M$","1,03 %",Johdannainen,
OD74,WisdomTree Softs,GB00B15KYJ87,15974969,"6,47 M$","0,54 %",Johdannainen,
OD7P,WisdomTree Soybean Oil,GB00B15KY435,15974947,"3,84 M$","0,49 %",Johdannainen,
OD7Q,WisdomTree Soybeans,GB00B15KY542,15974949,"20,76 M$","0,49 %",Johdannainen,
RARE,Wisdomtree Strategic Metals and Rare Earths Miners UCITS ETF Accum shs - USD,IE000KHX9DX6,457255298,"1 154,38 M$","0,50 %",Arvopaperi,
OD7R,WisdomTree Sugar,GB00B15KY658,392308321,"42,51 M$","0,54 %",Johdannainen,
4RUH,WisdomTree Sugar 2x Daily Leveraged,JE00B2NFTW01,392308395,"3,51 M$","1,03 %",Johdannainen,
WNUC,Wisdomtree Uranium And Nuclear Energy Ucits ETF,IE0003BJ2JS4,497263753,"350,97 M$","0,45 %",Arvopaperi,
WTDM,WisdomTree US Quality Dividend Growth UCITS ETF USD Acc,IE00BZ56RG20,303044334,"646,14 M$","0,33 %",Arvopaperi,
QGRW,WisdomTree US Quality Growth UCITS ETF,IE000YGEAK03,459056337,"35,45 M$","0,35 %",Arvopaperi,
OD7S,WisdomTree Wheat,JE00BN7KB664,442019557,"176,61 M$","0,99 %",Johdannainen,
00XS,WisdomTree Wheat - EUR Daily Hedged,JE00B78NNK09,60744880,"7,17 M$","1,21 %",Johdannainen,
4RUJ,WisdomTree Wheat 2x Daily Leveraged,JE00BDD9QC84,392308694,"10,68 M$","2,33 %",Johdannainen,
OD7F,WisdomTree WTI Crude Oil,GB00B15KXV33,15974929,"1 198,28 M$","0,49 %",Johdannainen,
00XM,WisdomTree WTI Crude Oil - EUR Daily Hedged,JE00B44F1611,60744874,"39,42 M$","0,54 %",Johdannainen,
9GA7,WisdomTree WTI Crude Oil 1x Daily Short,JE00B24DK975,23101239,"69,78 M$","0,98 %",Johdannainen,
4RT6,WisdomTree WTI Crude Oil 2x Daily Leveraged,JE00BDD9Q840,275623947,"86,61 M$","1,03 %",Johdannainen,
OD7T,WisdomTree Zinc,GB00B15KY872,392308329,"13,94 M$","0,54 %",Johdannainen,
XACT NORDEN,XACT Norden (UCITS ETF),SE0001710914,14766676,"1 330,46 M€","0,15 %",Arvopaperi,
XACTHDIV,XACT Nordic High Dividend Low Volatility (UCITS ETF),SE0009778954,185849031,"18 339,9 MSEK","0,30 %",Arvopaperi,Neljännesvuosittain
XACT OBLIGATION,XACT Obligation (UCITS ETF),SE0007491287,155631989,"5 558,81 MSEK","0,10 %",Arvopaperi,
XACT OMXS30,XACT OMXS30 ESG UCITS ETF Accum Units SEK,SE0000693293,404903,"19 471,9 MSEK","0,10 %",Arvopaperi,
XACT SMABOLAG,XACT Svenska Smabolag,SE0007491261,155631990,"2 047,8 MSEK","0,30 %",Johdannainen,
XACT SVERIGE,XACT Sverige (UCITS ETF),SE0001056045,7402468,"3 494,97 MSEK","0,15 %",Arvopaperi,Vuosittain
XZW0,Xtrackers(IE)PLC - Xtrackers MSCI Japan ESG UCITS ETF Accum-1C- USD,IE00BZ02LR44,217616790,"5 931,76 M€","0,25 %",Arvopaperi,
XAIX,Xtrackers Artificial Intelligence & Big Data UCITS ETF,IE00BGV5VN51,244833530,"7 184,1 M$","0,35 %",Arvopaperi,
XB4A,Xtrackers ATX UCITS ETF (DR) Capitalisation 1C,LU0659579063,58042507,"109,93 M€","0,25 %",Arvopaperi,
XDBC,Xtrackers Bloomberg Commodity ex-Agriculture & Livestock Swap UCITS ETF 1C - EUR Hedged,LU0292106167,18441108,"128,96 M$","0,39 %",Johdannainen,
XCBE,Xtrackers Bloomberg Commodity Swap UCITS ETF 2C - EUR Hedged Capitalisation,LU0429790743,30054646,"14,49 M€","0,24 %",Johdannainen,
DX2G,Xtrackers CAC 40 UCITS ETF (DR) Distribution 1D,LU0322250985,26954818,"112,46 M€","0,20 %",Arvopaperi,Puolivuosittain
XDDX,Xtrackers DAX ESG Screened UCITS ETF 1D,LU0838782315,74541103,"528,91 M€","0,09 %",Arvopaperi,Puolivuosittain
DBXD,Xtrackers DAX UCITS ETF,LU0274211480,16564491,"6 793,03 M€","0,09 %",Arvopaperi,
XQUA,Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 1D USD,IE00BD4DX952,158804084,"87,73 M$","0,45 %",Arvopaperi,Puolivuosittain
XQUE,Xtrackers ESG USD Emerging Markets Bond Quality Weighted UCITS ETF 2D Hedged EUR,IE00BD4DXB77,193110422,"127,71 M$","0,50 %",Arvopaperi,Puolivuosittain
DXSP,Xtrackers EURO STOXX 50 SHORT DAILY UCITS ETF Capitalisation 1C,LU0292106753,18084743,"44,13 M€","0,40 %",Johdannainen,
XESC,Xtrackers EURO STOXX 50 UCITS ETF Capitalisation 1C,LU0380865021,24488963,"6 031,17 M€","0,09 %",Arvopaperi,
XESX,Xtrackers EURO STOXX 50 UCITS ETF Distribution 1D,LU0274211217,16564492,"5 598,95 M€","0,09 %",Arvopaperi,Neljännesvuosittain
DXSA,Xtrackers Euro Stoxx Quality Dividend UCITS ETF,LU0292095535,18084741,"613,91 M€","0,30 %",Arvopaperi,Neljännesvuosittain
XUKX,Xtrackers FTSE 100 Income UCITS ETF,LU0292097234,18084742,"83,39 M£","0,09 %",Arvopaperi,Neljännesvuosittain
XUKS,Xtrackers FTSE 100 SHORT DAILY UCITS ETF Capitalisation 1C,LU0328473581,24398656,"8,47 M£","0,50 %",Johdannainen,
XDUK,Xtrackers FTSE 100 UCITS ETF (DR) Capitalisation 1C,LU0838780707,74541102,"85,23 M£","0,09 %",Arvopaperi,
XMCX,Xtrackers FTSE 250 UCITS ETF (DR) Distribution 1D,LU0292097317,18362675,"29,45 M£","0,15 %",Arvopaperi,Neljännesvuosittain
D5BK,Xtrackers FTSE EPRA/NAREIT DEVELOPED EUROPE REAL ESTATE UCITS ETF (DR) Capitalisation 1C,LU0489337690,35486962,"695,31 M€","0,33 %",Arvopaperi,
