tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
JPCT,JPMorgan ETFs (Ireland) ICAV - Carbon Transition Global Equity (CTB) UCITS ETF,IE00BMDWYZ92,312724587,"373,52 M$","0,23 %",Arvopaperi,
JER5,JPMorgan ETFs (Ireland) ICAV - EUR 1-5 yr IG Corporate Bond Active UCITS ETF Accum EUR,IE00BF59RW70,239087344,"129,39 M€","0,15 %",Arvopaperi,
JREB,JPMorgan ETFs (Ireland) ICAV - EUR IG Corporate Bond Active UCITS ETF Accum Shs EUR,IE00BF59RX87,239087342,"739,54 M€","0,16 %",Arvopaperi,
JEST,JPMorgan ETFs (Ireland) ICAV - EUR Ultra-Short Income Active UCITS ETF AccumEUR,IE00BD9MMF62,220236983,"1 796,02 M€","0,19 %",Arvopaperi,
JEQP,JPMORGAN ETFS (IRELAND) ICAV - NASDAQ Equity Premium Income Active Ucits ETF USD,IE000U9J8HX9,482104439,"3 053,99 M$","0,35 %",Arvopaperi,Kuukausittain
JREG,JPMorgan ETFs IE ICAV - Global REI Equity Active UCITS,IE00BF4G6Y48,232084876,"6 085,94 M$","0,23 %",Arvopaperi,
JPPA,JPM USD Ultra-Short Income Active UCITS ETF Accum Shs USD,IE00BG8BCY43,251690522,"863,87 M$","0,18 %",Arvopaperi,
KWBE,KraneShares CSI China Internet UCITS ETF,IE00BFXR7892,435947818,"435,11 M$","0,75 %",Arvopaperi,
BATE,L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,291550099,"964,25 M$","0,49 %",Arvopaperi,
ETLH,L&G Ecommerce Logistics UCITS ETF,IE00BF0M6N54,291550102,"74,74 M$","0,49 %",Arvopaperi,
TOPB,L&G Global Brands UCITS ETF Accum USD,IE0007HKA9K1,435775272,"45,45 M$","0,39 %",Arvopaperi,
HTMW,L&G Hydrogen Economy UCITS ETF USD,IE00BMYDM794,322815625,"541,77 M$","0,53 %",Arvopaperi,
IROB,L&G ROBO Global Robotics and Automation UCITS ETF USD Class A,IE00BMW3QX54,291317899,"1 338,64 M$","0,80 %",Arvopaperi,
XMLC,Legal & General Clean Water UCITS ETF Accum USD,IE00BK5BC891,291550125,"669,37 M$","0,49 %",Arvopaperi,
XMLD,Legal & General UCITS ETF Plc - Artificial Intelligence,IE00BK5BCD43,291550123,"1 689,33 M$","0,49 %",Arvopaperi,
USPY,Legal & General UCITS ETF PLC - Cyber Security UCITS ETF,IE00BYPLS672,291317909,"2 629,29 M$","0,73 %",Arvopaperi,
XMLH,Legal & General UCITS ETF Plc - Healthcare Breakthrough,IE00BK5BC677,291550128,"183,75 M$","0,49 %",Arvopaperi,
RENW,Legal & General UCITS ETF Plc - L&G Clean EnergyUCITS ETF AccumUSD,IE00BK5BCH80,312724616,"737,31 M$","0,49 %",Arvopaperi,
ETLI,Legal & General UCITS ETF Plc - Pharma Breakthrough,IE00BF0H7608,291550106,"18,81 M$","0,49 %",Arvopaperi,
ETLS,Legal & General UCITS ETF Plc - US Equity,IE00BFXR5Q31,291550121,"1 424,15 M$","0,05 %",Arvopaperi,
